worker_id,nome,2026-12-07,2026-12-08,2026-12-09,2026-12-10,2026-12-11,2026-12-12,2026-12-13,2026-12-14,2026-12-15,2026-12-16,2026-12-17,2026-12-18,2026-12-19,2026-12-20,2026-12-21,2026-12-22,2026-12-23,2026-12-24,2026-12-25,2026-12-26,2026-12-27,2026-12-28,2026-12-29,2026-12-30,2026-12-31,2027-01-01,2027-01-02,2027-01-03,2027-01-04,2027-01-05,2027-01-06,tot_turni_pesati,soddisfazione,sat_max,soddisfazione_pct
W01,Marco Rossi,-,M,M,M,M,-,N,-,-,M,N,-,-,M,M,M,M,N,-,-,M,M,M,M,N,-,-,M,M,M,M,25,75.4,125.0,60.3
W02,Giulia Bianchi,M,M,N,-,-,M,M,M,M,N,-,-,M,M,M,M,N,-,-,-,N,-,-,M,M,N,-,-,M,M,M,25,90.0,150.0,60.0
W03,Luca Ferrari,P,N,-,-,N,-,-,P,N,-,-,P,N,-,-,N,-,-,N,-,-,P,P,N,-,-,P,P,P,P,N,25,40.0,40.0,100.0
W04,Sara Russo,P,P,P,P,P,P,-,P,P,P,P,P,P,-,P,P,P,-,P,N,-,-,P,N,-,-,N,-,-,P,P,25,78.8,125.0,63.0
W05,Andrea Esposito,N,-,-,N,-,-,N,-,-,P,P,N,-,-,P,P,P,P,N,-,-,P,P,P,P,N,-,-,P,P,P,25,13.0,25.0,52.0
W06,Chiara Romano,M,-,M,M,M,N,-,-,M,-,M,M,M,N,-,-,M,M,M,M,N,-,-,M,M,M,M,N,-,-,M,25,65.8,125.0,52.6
W07,Matteo Colombo,P,P,P,P,N,-,-,P,P,P,P,N,-,-,P,P,-,P,P,N,-,-,N,-,-,P,N,-,-,N,-,25,82.0,100.0,82.0
W08,Francesca Ricci,M,M,M,M,M,-,M,M,M,-,M,M,M,M,-,M,M,M,M,-,-,M,M,M,-,M,M,M,M,M,M,25,125.0,125.0,100.0
W09,Davide Greco,M,-,M,N,-,-,M,N,-,-,M,M,M,M,N,-,-,M,M,M,M,N,-,-,M,M,M,M,N,-,-,25,60.0,75.0,80.0
W10,Elena Marino,P,P,N,-,-,P,P,P,P,N,-,-,P,P,P,P,N,-,-,-,P,N,-,-,N,-,-,N,-,-,N,25,83.0,125.0,66.4
W11,Alessandro Conti,M,M,M,M,M,M,-,-,M,M,N,-,-,N,-,-,M,N,-,-,M,M,M,M,-,M,M,M,M,M,M,25,84.2,125.0,67.4
W12,Valentina Bruno,M,N,-,-,P,N,-,-,N,-,-,P,N,-,-,N,-,-,P,P,M,P,N,-,-,P,P,P,P,N,-,25,7.0,8.0,87.5
W13,Simone Gallo,N,-,-,P,P,P,P,N,-,-,P,P,P,P,N,-,-,P,P,P,P,P,-,P,P,-,P,P,N,-,-,25,65.8,125.0,52.6
