worker_id,nome,2026-12-07,2026-12-08,2026-12-09,2026-12-10,2026-12-11,2026-12-12,2026-12-13,2026-12-14,2026-12-15,2026-12-16,2026-12-17,2026-12-18,2026-12-19,2026-12-20,2026-12-21,2026-12-22,2026-12-23,2026-12-24,2026-12-25,2026-12-26,2026-12-27,2026-12-28,2026-12-29,2026-12-30,2026-12-31,2027-01-01,2027-01-02,2027-01-03,2027-01-04,2027-01-05,2027-01-06,tot_turni_pesati,soddisfazione
W01,Marco Rossi,M,M,M,N,-,-,M,M,M,M,N,-,-,M,M,M,M,N,-,-,M,M,-,M,M,N,-,-,N,-,-,25,12.5
W02,Giulia Bianchi,M,N,-,-,M,M,M,M,N,-,-,-,M,M,M,M,N,-,-,-,M,M,M,M,N,-,-,M,M,M,M,25,17.0
W03,Luca Ferrari,N,-,-,P,P,P,P,N,-,-,P,P,-,P,P,N,-,-,N,-,-,P,P,N,-,-,N,-,-,P,N,25,7.0
W04,Sara Russo,P,P,-,-,P,P,P,P,N,-,-,P,P,P,P,N,-,-,P,P,P,P,P,P,-,-,P,P,P,P,P,25,19.2
W05,Andrea Esposito,P,P,P,P,N,-,-,P,P,P,P,N,-,-,P,-,P,P,N,-,-,N,-,-,N,-,-,N,-,-,N,25,2.2
W06,Chiara Romano,-,-,M,M,M,M,N,-,-,M,M,M,M,N,-,-,M,M,M,M,N,-,-,M,-,M,M,M,M,M,M,25,16.9
W07,Matteo Colombo,P,P,P,P,N,-,-,P,-,P,P,N,-,-,N,-,-,P,P,N,-,-,N,-,-,P,N,-,-,P,N,25,15.8
W08,Francesca Ricci,-,M,M,M,M,-,M,M,M,M,M,-,-,M,M,M,M,M,M,-,M,M,M,M,M,M,-,M,M,M,P,25,24.9
W09,Davide Greco,N,-,-,M,M,M,M,N,-,-,M,M,M,M,N,-,-,M,M,M,M,N,-,-,-,N,-,-,M,N,-,25,9.5
W10,Elena Marino,P,P,P,N,-,-,P,P,P,P,N,-,-,-,P,P,N,-,-,-,P,P,N,-,-,P,P,P,P,N,-,25,18.5
W11,Alessandro Conti,-,M,M,M,M,N,-,-,M,M,M,M,N,-,-,M,M,M,-,M,N,-,-,M,M,M,M,N,-,-,M,25,14.6
W12,Valentina Bruno,-,P,N,-,-,P,N,-,-,P,P,P,P,N,-,-,P,-,P,N,-,-,P,N,-,-,P,P,P,P,N,25,1.2
W13,Simone Gallo,P,P,N,-,-,P,P,P,P,N,-,-,P,P,P,P,P,P,-,P,P,P,-,P,P,-,P,P,N,-,-,25,16.9
W14,Roberto Ferrara,N,-,-,M,-,M,M,N,-,-,M,M,M,M,N,-,-,M,M,M,M,N,-,-,M,M,M,M,N,-,-,25,12.5
W15,Monica Cattaneo,P,-,N,-,-,P,N,-,-,P,N,-,-,P,P,P,P,N,-,-,P,P,P,P,P,P,-,P,P,P,P,25,14.6
W16,Stefano Leone,P,P,M,P,N,-,-,P,P,M,-,P,N,-,-,M,N,-,-,P,N,-,-,N,-,-,P,N,-,-,N,25,1.4
W17,Laura Mancini,M,N,-,-,M,M,M,M,N,-,-,M,M,M,M,N,-,-,M,M,M,M,N,-,-,-,M,M,M,M,-,25,14.2
W18,Gianni Serra,P,P,P,N,-,-,P,P,-,P,P,N,-,-,P,P,P,P,N,-,-,P,P,P,P,-,N,-,-,N,-,25,3.0
W19,Paola Costa,M,M,M,-,M,N,-,-,M,N,-,-,P,N,-,-,M,N,-,-,M,M,M,M,N,-,-,M,M,M,M,25,10.9
W20,Fabio Martini,P,N,-,-,P,N,-,-,P,N,-,-,N,-,-,P,P,P,P,N,-,-,P,P,-,N,-,-,P,P,N,25,15.8
